LGU,Category,Score,Population,Population Weight (50%),Revenue,Revenue Weight (50%),Total Percentage,Provincial Score,Population_Growth,Economic Dynamism,Government Efficiency,Infrastructure,Resiliency,Land Use Plan,Disaster Risk Reduction Plan,Annual Disaster Drill,Early Warning System,Budget for DRRMP,Local Risk Assessment,Emergency Infrastructure,Utilities,Employed Population,Sanitary System,Innovation,Brgy count,Estimated elevation above sea level (FEET)
Luisiana,Fourth Class Municipality,27.5751,20859,0.003,150704662.1,0.004,0.007,0.193,1.19,4.118,7.4854,2.6726,11.0974,1.9868 ,1.9762 ,1.0135 ,1.0099 ,0,2,0.0734 ,1.4990 ,0.0382 ,1.5004 ,2.2017,23,"1,275.60"
Lumban,Third Class Municipality,26.2551,30652,0.005,182770621.9,0.005,0.01,0.2494,1.13,4.0696,5.9451,2.8542,9.3584,1.9868 ,1.9762 ,1.0036 ,1.0079 ,0,0.0000 ,0.3760 ,1.5037 ,0.0036 ,1.5006 ,4.0278,16,29.5
Mabitac,Fifth Class Municipality,29.8916,21275,0.003,105051543.8,0.003,0.006,0.1793,0.75,4.0371,7.3301,5.2663,11.3799,1.8919 ,1.8125 ,1.0071 ,1.0521 ,0.0000 ,2,0.5348 ,1.5324 ,0.0428 ,1.5063 ,1.8782,15,16.9
Magdalena,Fourth Class Municipality,29.8519,27816,0.004,166213864.1,0.004,0.009,0.2537,2.04,3.9355,6.809,2.8764,11.5836,1.9737 ,1.9762 ,1.0036 ,1.1996 ,0,2,0.4205 ,1.5023 ,0.0072 ,1.5005 ,4.6474,24,228.7
Majayjay,Fourth Class Municipality,29.6018,27893,0.004,164211244.4,0.004,0.009,0.2516,0.08,4.2389,6.9431,2.9529,11.0403,1.9868 ,1.9524 ,1.0036 ,1.0316 ,0,2,0.0560 ,1.5041 ,0.0056 ,1.5002 ,4.4266,40,946.5
Nagcarlan,Second Class Municipality,30.5863,63057,0.01,30639587.07,0.001,0.011,0.3242,0.6,4.333,7.5978,2.8311,11.5461,1.9559 ,1.9167 ,1.0040 ,1.0076 ,0.0306 ,2,0.4290 ,1.5139 ,0.1877 ,1.5007 ,4.2692,52,659.5
Paete,Fourth Class Municipality,33.4647,25096,0.004,13456951.75,0,0.004,0.1406,-0.13,4.4739,8.1499,2.6095,11.2717,1.8947 ,1.9048 ,1.0018 ,1.0395,0,2,0.4007 ,1.4964 ,0.0337 ,1.5001 ,6.9597,9,27.1
Pagsanjan,Third Class Municipality,37.8813,42164,0.007,218968228.3,0.006,0.012,0.4584,1.06,5.158,8.3316,4.1221,11.953,1.9342 ,1.9762 ,1.0614 ,1.0375 ,0,2,0.6299 ,1.5077 ,0.3057 ,1.5004 ,8.3166,16,39.7
Pakil,Fifth Class Municipality,35.0839,24800,0.004,137268266.6,0.004,0.007,0.2596,2.75,3.8823,9.1994,5.4219,11.6095,1.9595 ,1.8750 ,1.0071 ,1.1250 ,0.0000 ,2,0.3840 ,1.5259 ,0.2267 ,1.5063 ,4.9708,13,36
Pangil,Fourth Class Municipality,24.9916,25026,0.004,180222722.4,0.005,0.009,0.2124,0.64,3.361,6.5996,2.6281,11.4801,1.9737 ,1.9762 ,1.0045 ,1.0119,0,2,0.4737 ,1.4995 ,0.0405,1.5001 ,0.9228,8,22.6
Pila,Third Class Municipality,31.1829,54613,0.009,12853870.65,0,0.009,0.2744,1.75,4.4748,5.7735,3.3517,11.08,1.9474 ,1.9524 ,1.0018 ,1.0040 ,0,2,0.1674 ,1.4977 ,0.0092 ,1.5001 ,6.5029,17,23.4
Rizal (LA),Fifth Class Municipality,32.981,18332,0.003,18300467.03,0.001,0.003,0.1088,1.29,4.7136,7.6267,4.5749,11.3726,1.9730 ,1.9375 ,1.0071 ,1.0104 ,0.0000 ,2,0.3946 ,1.5003 ,0.0257 ,1.5240 ,4.6932,11,838.6
San Pablo (LA),Component City,38.787,285348,0.044,1851624726,0.047,0.092,3.549,1.48,4.6915,9.8805,4.7007,11.7875,1.9821 ,1.9762 ,1.0772 ,1.0079 ,0.0954 ,2,0.5705 ,1.4844 ,0.0589 ,1.5349 ,7.7268,80,389.9
San Pedro,Component City,41.2047,326001,0.051,2545311175,0.065,0.115,4.7591,0.01,5.6166,9.6245,6.3227,11.7326,1.9286 ,1.9762 ,1.0599 ,1.0062 ,0.0758 ,2,0.5916 ,1.5076 ,0.0520 ,1.5347 ,7.9083,27,38.8
Santa Cruz (LA),First Class Municipality,35.0512,123574,0.019,502507637.7,0.013,0.032,1.1216,1.05,5.5092,9.7812,3.3538,11.3238,1.9265 ,1.8750 ,1.0032 ,1.0009 ,0.0350 ,2,0.4274 ,1.5012 ,0.0422 ,1.5124 ,5.0524,26,30.9
Santa Maria (LA),Fourth Class Municipality,33.6337,40667,0.006,189424695,0.005,0.011,0.3733,2.4,4.039,8.3622,2.9766,11.6041,1.8684 ,1.9286 ,1.0262 ,1.1225 ,0,2,0.6002 ,1.4976 ,0.0596 ,1.5010 ,6.6518,25,49.2
Santa Rosa (LA),Component City,44.5938,414812,0.064,4970354460,0.127,0.191,8.5219,3.41,7.74,11.1886,5.9758,11.6663,1.9107 ,1.9048 ,1.0064 ,1.1968 ,0.1064 ,2,0.5038 ,1.4621 ,0.0175 ,1.5578,8.0231,18,32.6
Siniloan,Second Class Municipality,34.6618,42746,0.007,242377713.3,0.006,0.013,0.4437,0.76,3.6634,9.4962,2.6703,11.4978,1.9853 ,1.9583 ,1.0032 ,1.0062 ,0.0350 ,2,0.3909 ,1.4966 ,0.0304 ,1.5919 ,7.3245,20,15.2
Victoria (LA),Fourth Class Municipality,24.9516,46007,0.007,251766610.1,0.006,0.014,0.3368,2.1,4.2941,3.9451,2.2827,11.3661,1.9211 ,1.9048 ,1.0000 ,1.0613,0,2,0.4113 ,1.4929 ,0.0746 ,1.5001 ,3.0636,9,33.8
